"","id","sample.size","sex","category","subcategory","unit","group_name","build","author","year","population","trait","pmid","ontology","filename","nsnp","delimiter","header","mr","snp_col","chr_col","pos_col","ea_col","oa_col","eaf_col","beta_col","se_col","pval_col","note"
"1","met-e-Acetate_agetert1",37113,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetate",NA,NA,"acetate_int_agetert1_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 1"
"2","met-e-Acetate_agetert2",38774,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetate",NA,NA,"acetate_int_agetert2_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 2"
"3","met-e-Acetate_agetert3",39159,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetate",NA,NA,"acetate_int_agetert3_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 3"
"4","met-e-Acetoacetate_agetert1",37127,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetoacetate",NA,NA,"acetoacetate_int_agetert1_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 1"
"5","met-e-Acetoacetate_agetert2",38784,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetoacetate",NA,NA,"acetoacetate_int_agetert2_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 2"
"6","met-e-Acetoacetate_agetert3",39164,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetoacetate",NA,NA,"acetoacetate_int_agetert3_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 3"
"7","met-e-Acetone_agetert1",37127,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetone",NA,NA,"acetone_int_agetert1_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 1"
"8","met-e-Acetone_agetert2",38784,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetone",NA,NA,"acetone_int_agetert2_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 2"
"9","met-e-Acetone_agetert3",39164,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Acetone",NA,NA,"acetone_int_agetert3_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 3"
"10","met-e-Ala_agetert1",37127,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Alanine",NA,NA,"ala_int_agetert1_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 1"
"11","met-e-Ala_agetert2",38784,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Alanine",NA,NA,"ala_int_agetert2_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 2"
"12","met-e-Ala_agetert3",39163,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Alanine",NA,NA,"ala_int_agetert3_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 3"
"13","met-e-Albumin_agetert1",37120,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Albumin",NA,NA,"albumin_int_agetert1_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 1"
"14","met-e-Albumin_agetert2",38776,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Albumin",NA,NA,"albumin_int_agetert2_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 2"
"15","met-e-Albumin_agetert3",39164,"Males and females","Continuous","NA","SD","public","HG19/GRCh37","Bell JA",2021,"European","Albumin",NA,NA,"albumin_int_agetert3_imputed.txt.gz",12321875,"tab",TRUE,1,0,1,2,4,5,6,10,11,15,"age tertile 3"
